visit1	Best Match	Group	Score
dynamic.FACE.voice.v1_visit1.complete.coeff87	dynamic.FACE.voice.v1_visit2.complete.coeff87	voice.v1	100
dynamic.FACE.face_lmdist.v3_visit1.N_ST	dynamic.FACE.face_lmdist.v3_visit2.N_ST	face_lmdist.v3	100
dynamic.FACE.voice.v2_visit1.complete.coeff86	dynamic.FACE.voice.v2_visit2.complete.coeff86	voice.v2	100
dynamic.FACE.face_lmdist.v1_visit1.N_LS	dynamic.FACE.face_lmdist.v1_visit2.N_LS	face_lmdist.v1	100
dynamic.FACE.face_lmdist.v3_visit1.LI_PG	dynamic.FACE.face_lmdist.v3_visit2.LI_PG	face_lmdist.v3	100
dynamic.FACE.face_lmdist.v1_visit1.EXL_ENL	dynamic.FACE.face_lmdist.v1_visit2.EXL_ENL	face_lmdist.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff60	dynamic.FACE.voice.v1_visit2.complete.coeff60	voice.v1	100
dynamic.FACE.voice.v2_visit1.complete.coeff72	dynamic.FACE.voice.v2_visit2.complete.coeff72	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff71	dynamic.FACE.voice.v2_visit2.complete.coeff71	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff74	dynamic.FACE.voice.v2_visit2.complete.coeff74	voice.v2	100
dynamic.FACE.voice.v1_visit1.complete.coeff39	dynamic.FACE.voice.v1_visit2.complete.coeff39	voice.v1	100
dynamic.FACE.face_lmdist.v2_visit1.ALL_ALR	dynamic.FACE.face_lmdist.v2_visit2.ALL_ALR	face_lmdist.v2	100
dynamic.FACE.face_lmdist.v3_visit1.N_SN	dynamic.FACE.face_lmdist.v3_visit2.N_SN	face_lmdist.v3	100
dynamic.FACE.face_lmdist.v2_visit1.ENR_ENL	dynamic.FACE.face_lmdist.v2_visit2.ENR_ENL	face_lmdist.v2	100
dynamic.FACE.face_lmdist.v1_visit1.IRR_IRL	dynamic.FACE.face_lmdist.v1_visit2.IRR_IRL	face_lmdist.v1	100
dynamic.FACE.voice.v2_visit1.complete.coeff68	dynamic.FACE.voice.v2_visit2.complete.coeff68	voice.v2	100
dynamic.FACE.face_lmdist.v3_visit1.CHR_CHL	dynamic.FACE.face_lmdist.v3_visit2.CHR_CHL	face_lmdist.v3	100
dynamic.FACE.face.v4_visit1.DepthPC	dynamic.FACE.face.v4_visit2.DepthPC	face.v4	100
dynamic.FACE.face_lmdist.v2_visit1.PRN_IRR	dynamic.FACE.face_lmdist.v2_visit2.PRN_IRR	face_lmdist.v2	100
dynamic.FACE.face_lmdist.v2_visit1.PRN_IRL	dynamic.FACE.face_lmdist.v2_visit2.PRN_IRL	face_lmdist.v2	100
dynamic.FACE.face.v6_visit1.DepthPC.mirror	dynamic.FACE.face.v6_visit2.DepthPC.mirror	face.v6_mirror	100
dynamic.FACE.voice.v2_visit1.complete.coeff01	dynamic.FACE.voice.v2_visit2.complete.coeff01	voice.v2	100
dynamic.FACE.face_lmdist.v3_visit1.LS_LI	dynamic.FACE.face_lmdist.v3_visit2.LS_LI	face_lmdist.v3	100
dynamic.FACE.voice.v2_visit1.complete.coeff05	dynamic.FACE.voice.v2_visit2.complete.coeff05	voice.v2	100
